id,gender,education,income,work_status,investment_knowledge,financial_satisfaction_score,risk_tolerance,income_to_debt,difficult_to_pay_bills,know_retirement_amount,confidence_paying_unexpected_need,current_credit_record,worry_about_retirement,finances_makes_me_anxious,finances_makes_me_stressed,savings_account,comfort_asking_questions,employer_provided_retirement_account,self_retirement_account,other_investment_accounts,minimum_credit_card_payement_only,too_much_debt,good_at_daily_financial_matters,good_at_math,financial_knowledge,taken_financial_education,how_many_hours_of_financial_education,cat_gender,cat_employer_provided_retirement_account,cat_self_retirement_account,cat_other_investment_accounts,cat_market_participant,market_participant,cat_work_status,cat_current_credit_record,cat_ft_status
2018010001,2,5,1,6,0,1,1,3,1,2,4,1,7,7,7,2,3,1,2,0,0,7,1,6,2,2,0,Female,Yes,No,Unknown,Yes,1,"Permanently sick, disabled, or unable to work",Very bad,Other
2018010002,2,6,5,2,1,4,3,3,2,2,1,4,3,7,7,1,6,1,1,1,2,1,7,6,5,2,0,Female,Yes,Yes,Yes,Yes,1,Work full-time for an employer,Good,Full-Time
2018010003,2,6,4,2,3,1,1,2,1,2,4,2,5,7,7,2,1,1,2,2,1,7,1,1,2,2,0,Female,Yes,No,No,Yes,1,Work full-time for an employer,Bad,Full-Time
2018010004,2,6,5,2,3,8,10,2,3,2,2,4,6,4,7,0,7,0,0,2,0,0,6,6,0,2,3,Female,Unknown,Unknown,No,No,0,Work full-time for an employer,Good,Full-Time
2018010005,1,6,3,2,1,6,5,3,3,1,1,5,5,4,2,1,5,1,2,2,2,4,7,4,4,2,0,Male,Yes,No,No,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010006,2,5,1,3,0,5,5,0,1,2,4,5,4,4,4,2,4,2,2,2,0,4,4,4,5,2,0,Female,No,No,No,No,0,Work part-time for an employer,Very good,Other
2018010007,1,3,6,2,2,10,10,1,3,1,1,5,6,7,7,1,7,1,1,1,2,7,7,7,7,1,0,Male,Yes,Yes,Yes,Yes,1,Work full-time for an employer,Very good,Full-Time
2018010008,2,2,1,2,0,3,8,2,2,1,2,2,7,0,0,1,2,2,1,1,2,5,2,7,5,1,0,Female,No,Yes,Yes,Yes,1,Work full-time for an employer,Bad,Full-Time
2018010009,1,7,6,2,1,9,9,3,3,1,3,4,7,6,6,1,6,1,1,1,1,6,7,6,6,2,0,Male,Yes,Yes,Yes,Yes,1,Work full-time for an employer,Good,Full-Time
2018010010,2,6,2,8,1,7,1,3,3,0,1,5,6,3,1,1,1,2,2,2,2,1,7,5,6,1,0,Female,No,No,No,No,0,Retired,Very good,Other
