NFCSID,A1,A2,A3,B2_1,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B3,B4,B5,B6,B20,B21,B10,B11,B23,B24,B25,B26,C20_1,C20_2,C20_3,C20_4,C20_5,C21,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,C25,C26,C7,D1_1,D1_2,D2,D3,D20,D21,D4,E1_1,E20,E5,E6,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F2_1,F2_2,F2_5,F2_6,F2_20,F2_21,F2_22,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F4,F5,F20,G1,G2,G20,G4,G5,G6,G7,G21,G8,G22,G11,G12,G13,H2,H3,WGT1,S_Gender,S_Age,S_Ethnicity,S_Education,S_Income
2018010042,2,1,1,98,98,1,1,98,2,2,1,2,2,2,98,98,9,2, , ,2,3,98,2, , , ,3,1,1,1,1,2,1,3,1,1,2,2,2,1,99, ,1,2,9,7,3,3,3,3,1,98,1,3,2,2,1,1,98,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2, ,2, ,6,5,7,1,98,1,1,98,1,98,2,3,4,1,2,0.910655279,2,3,1,1,2
2018010047,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,5,1,1,1,1,1,1,1,5,1,1,3,3,2,3,2,1,3,3,2,3,1,1,2,1,3,9,1,1,10,9,2,3,2,1,5,8,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1, ,8,5,6,3,3,3,1,1,1,1,2,2,2,1,1,1.566607663,1,1,2,2,2
2018010050,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,10,2, , ,2,4,2,1,4,2,2,3,2,2,1,1,1,2,1,1,1,98,98,98,98,98, ,2,2,7,3,98,2,3,98,4,98,98,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2, ,2, ,6,4,4,1,2,3,98,2,1,98,3,98,98,1,2,0.609443224,2,3,1,2,2
2018010051,1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,8,99, , ,2,4,2,1,5,2,2,3,2,2,2,1,1,1,1,1,1,2,2,2,1,4,5,2,2,3,1,2,2,3,98,2,3,2,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2, ,4,2,3,2,2,2,1,2,98,98,1,1,4,1,2,0.609443224,1,3,1,2,2
2018010053,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,3,8,2, , ,1,2,2,1,4,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,3,9,1,1,9,9,3,3,1,1,6,9,1,3,3,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2, , ,10,7,7,1,2,2,1,1,1,2,3,3,4,1,1,0.609443224,1,3,1,2,3
2018010054,2,1,1,1,2,1,2,1,2,1,2,2,2,2,2,1,98,98, , ,98,3,2,1,98,2,2,2,2,1,1,1,1,1,1,1,1,2,98,98,1,98, ,2,2,8,6,98,3,3,3,3,6,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,98,2,2,2, ,2, ,6,3,5,1,2,2,98,1,98,3,3,98,98,1,2,0.609443224,2,3,1,2,3
2018010066,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,6,99, , ,99,3,1,2, , , ,1,1,1,1,1, ,1,1,1,1,2,2,1,1,99, ,99,99,4,3,2,2,3,3,3,5,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,2, ,6,4,4,1,2,2,1,2,99,98,3,98,98,1,1,0.609443224,2,3,1,2,2
2018010078,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,1,4,99, , ,2,3,2,98, , , ,3,3,1,1,1,2,1,1,1,1,2,2,1,2,4,7,2,2,98,98,98,2,3,3,2,98,1,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2, ,1, ,7,4,5,2,2,2,1,2,98,98,1,1,3,1,1,0.910655279,2,3,1,1,1
2018010082,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,7,98, , ,2,3,2,1,3,2,2,1,1,3,1,1, ,1,1,2,1,2,1,1,1,4,7,2,2,8,6,3,2,3,98,2,7,2,3,3,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2, ,1, ,8,5,5,1,98,98,2,2,1,1,1,98,3,1,1,0.609443224,2,3,1,2,2
2018010094,2,1,1,2,2,1,2,1,2,1,2,2,2,2,1,1,9,2, , ,2,2,1,1,4,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,4,8,2,2,9,7,2,2,3,3,3,7,1,1,3,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2, ,2, ,8,5,6,1,2,2,1,2,1,1,3,2,99,1,1,0.609443224,1,3,1,2,3
